Headline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric automaker Lucid Motors has completed the initial phase of its     million factory a milestone required to begin production of its first luxury all electric Air sedan this spring The factory which is located about halfway between Tucson and Phoeni ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prius may be one of the most iconic green vehicles in the world but Toyota is among the last to adopt pure EVs Now that electric vehicle sales are starting to take off however Toyota is finally ready to get serious The automaker has teased an all ele ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivian is preparing to ship its electric truck and SUV next year and it has updated pricing for the vehicles There ll be launch editions for each with included off road upgrades as part of an Adventure Package The R T pickup truck has a base price of      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Seattle based startup Recurrent said today it has closed on     million in financing as it looks to become the Carfax for electric vehicle batteries   The battery system is arguably the most important part of any electric vehicle and as the market for us ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drivers cruising along an off the beaten track might stumble upon an unusual sight in the coming months  a Rivian electric charging station The electric automaker has designed and is now starting to build out a network of electric vehicle charging stations t ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over the next five years Maserati plans to electrify its entire lineup   but as Electrek points out don t expect to see the automaker announce a flood of battery electric models just yet During an online fashion event caught by Reuters Maserati CEO David ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Motors said it will spend    billion over the next five years on the development of electric vehicles and automated technology a     percent increase that exceeds the automaker s investment and gas and diesel and is an effort bring products to marke ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford revealed Thursday the E Transit a configurable all electric cargo van that it s betting will be the new go to workhorse for commercial customers The E Transit is just one piece of the company s      billion investment in electrification But it could  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U S retailer Walmart and autonomous vehicle company Cruise are pairing up to test grocery delivery in Scottsdale Arizona Under the pilot program customers will be able to place an order from their local Walmart store and have it delivered via one of Cruis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric automaker Rivian will makes its hands free driver assistance system standard in every vehicle it builds including its first two vehicles   the RT  pickup truck and R S SUV   that are coming to market in      Details about the system which is brand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The UK plans to end the sale of new internal combustion vehicles by      and stop sales of new hybrid vehicles by      UK Prime Minister Boris Johnson made the announcement as part of a sweeping new plan to address climate change ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Station is a weekly newsletter dedicated to all things transportation  Sign up here   just click The Station   to receive it every Saturday in your inbox Hi folks welcome back to The Station  a newsletter dedicated to all the present and future ways peo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian electric truck and bus manufacturer The Lion Electric Company said Monday it plans to become a publicly traded company via a merger with special purpose acquisition company Northern Genesis Acquisition Corp The combined company which will be listed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrival has gone from stealthy electric vehicle startup to prospective public company in a span of a year The UK based company which operated in relative secrecy for several years until January when it announced a     million investment from Hyundai and Ki ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At its  virtual  NextGen      event BMW today announced that the BMW iX its new all electric flagship previously known as the iNext will launch at the end of      Based on BMW s fifth generation eDrive technology the iX will get a new look   and new kidn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The EPA just released its findings on the Mustang Mach E and it s a mixture of good news and bad news Depending on the model the EPA says the Mach E is good for just     miles to     miles on a charge On the one hand the Mach E matched Ford s range targe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric cars are undeniably the way of the future but a company called Lunaz has been bringing that technology to older classic vehicles like the Jaguar XK    and Rolls Royce Phantom V As of today the company is expanding its lineup to include Range Rove ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivian CEO eyes smaller electric vehicles for China Europe Reuters,Electric vehicle startup Rivian which is backed by Amazon  AMZN O  and Ford Motor Co  F N  on Wednesday said it plans to follow up its first two products a full size pickup and SUV with smaller models targeted at China and Europe where it may eventually b ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The cost of battery cells used for electric vehicles has fallen to an average of     per kilowatt hour  kWh  making such cars competitive with those using internal combustion engines  ICE  according to Benchmark Mineral Intelligence  BMI  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxconn is hitching a bumpy ride with electric vehicles The    billion iPhone assembler formally known as Hon Hai Precision Industry wants to diversify by supplying parts for     of the world s green cars by      It s an ambitious and risky goal but the ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivian CEO eyes smaller electric vehicles for China Europe Reuters,Electric vehicle startup Rivian which is backed by Amazon and Ford Motor Co on Wednesday said it plans to follow up its first two products a full size pickup and SUV with smaller models targeted at China and Europe where it may eventually build some vehic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The cost of battery cells used for electric vehicles has fallen to an average of     per kilowatt hour  kWh  making such cars competitive with those using internal combustion engines  ICE  according to Benchmark Mineral Intelligence  BMI  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The cost of battery cells used for electric vehicles has fallen to an average of     per kilowatt hour  kWh  making such cars competitive with those using internal combustion engines  ICE  according to Benchmark Mineral Intelligence  BMI  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The UK might soon move up its ban on sales of combustion engine cars   yes again The Financial Times and the BBC both claim Prime Minister Boris Johnson will announce a ban on fossil fuel car sales by      five years ahead of the most recent target and a  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackBerry shares shot up in early trading on news that the company will partner with Amazon Web Services to jointly develop and market its vehicle data integration and monitoring platform IVY BlackBerry stock was up     or      at the opening bell on the  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U S electric vehicle maker Tesla is looking at expanding in Europe by entering the mass market segment with a compact car Chief Executive Elon Musk said on Tuesday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If dealers aren t sold on electric vehicles GM will offer them a buyout instead ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fans of the devices say they are a cheap way to travel But other New Yorkers view them as a nuisance or worry about the risks they pose ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Motor Co is considering making its own batteries as sales volumes of electric vehicles rise around the world the automaker s top executive said on Friday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford Motor Co is considering making its own batteries as sales volumes of electric vehicles rise around the world the automaker s top executive said on Friday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric vehicles  EVs  benefiting globally from a push for tighter emissions controls are facing challenges after a global string of fires from overheating batteries ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All vehicles of Fiat Chrysler s premium brand Maserati will be electrified either hybrid or full electric in the next five years the unit s chief executive said on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All vehicles of Fiat Chrysler s premium brand Maserati will be electrified either hybrid or full electric in the next five years the unit s chief executive said on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The CEO of France s PSA Group  PEUP PA  expects further consolidation of the automotive sector as carmakers invest vast sums in producing electric vehicles he said on Monday adding that some will not make it through the coming decade ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U S electric vehicle maker Tesla is looking at expanding in Europe by entering the mass market segment with a compact car Chief Executive Elon Musk said on Tuesday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM is backing away from an agreement to take a stake in electric automaker Nikola Corp marking the collapse of a deal that has been problematic since it was announced just two months ago Shares of Nikola plummeted more than     in pre market trading Monday  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companies that launch robotaxi services in California will be able to charge for and offer shared driverless rides as long as they can navigate a new government approval process that some in the industry argues adds unnecessary bureaucracy that could delay de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s government is considering abolishing sales of new gasoline powered cars and replace them with hybrid or electric vehicles to promote a global shift away from gasoline cars the public broadcaster NHK reported on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s government is considering abolishing sales of new gasoline engine cars by the mid     s in favour of hybrid or electric vehicles in line with a global shift from traditionally powered cars public broadcaster NHK reported on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s government is considering abolishing sales of new gasoline engine cars by the mid     s in favour of hybrid or electric vehicles in line with a global shift from traditionally powered cars public broadcaster NHK reported on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German luxury carmaker Daimler  DAIGn DE  on Thursday said it plans to double sales of its Maybach branded Mercedes Benz vehicles after selling        vehicles last year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German luxury carmaker Daimler on Thursday said it plans to double sales of its Maybach branded Mercedes Benz vehicles after selling        vehicles last year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s government is considering abolishing sales of new gasoline engine cars by the mid     s in favor of hybrid or electric vehicles in line with a global shift from traditionally powered cars public broadcaster NHK reported on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan s trade ministry is considering support for a shift to electric powered vehicles and will map out a plan by the year end chief government spokesman Katsunobu Kato told a news conference on Thursday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An aggressive China led shift to electric vehicles is expected to slash global oil demand growth by     by      and will help bring an end to the  oil era  according to research by the Carbon Tracker think tank published on Friday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai faces lawsuit over EV fires as GM launches recall Reuters India,Hyundai Motor Co is being sued over a string of battery fires in its electric vehicles  EVs  just as General Motors Co recalls nearly        EVs with batteries from the same maker LG Chem Ltd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Canadian province of Quebec said on Monday it will ban the sale of new gasoline powered passenger cars as of      joining California and others in announcing moves to shift to electric vehicles and reduce greenhouse gas emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The European Union could produce enough batteries by      to power its fast growing fleet of electric vehicles without relying on imported cells European Commission Vice President Maros Sefcovic said on Tuesday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The European Union could produce enough batteries by      to power its fast growing fleet of electric vehicles without relying on imported cells European Commission Vice President Maros Sefcovic said on Tuesday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Motor Co is planning to recall a total of        Kona electric cars and Nexo fuel cell vehicles in South Korea due to faulty electronic braking systems the transport ministry said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Motor Co is planning to recall a total of        Kona electric cars and Nexo fuel cell vehicles in South Korea due to faulty electronic braking systems the transport ministry said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai Motor Co is planning to recall a total of        Kona electric cars and Nexo fuel cell vehicles in South Korea due to faulty electronic braking systems the transport ministry said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elon Musk would consider leveraging Tesla s mega     billion market cap to buy a legacy automaker but only if it was on friendly terms the billionaire entrepreneur said Tuesday in a wide ranging interview with Axel Springer CEO Mathias D pfner Musk who re ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The head of Peugeot maker PSA Group expects more consolidation in the auto industry as carmakers invest vast sums to make electric vehicles he said on Monday while predicting some wouldn t make it through the coming decade ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai faces lawsuit over EV fires as GM launches recall Reuters,Hyundai Motor Co         KS  is being sued over a string of battery fires in its electric vehicles  EVs  just as General Motors Co  GM N  recalls nearly        EVs with batteries from the same maker LG Chem Ltd         KS  Heekyong Yang, Hyunjoo Jin,Hyundai faces lawsuit over EV fires as GM launches recall Reuters Canada,Hyundai Motor Co is being sued over a string of battery fires in its electric vehicles  EVs  just as General Motors Co recalls nearly        EVs with batteries from the same maker LG Chem Ltd Reuters Staff,Hyundai Motor to recall Kona EV Nexo hydrogen SUVs to fix brakes Reuters India,Hyundai Motor Co is planning to recall a total of        Kona electric cars and Nexo fuel cell vehicles in South Korea due to faulty electronic braking systems the transport ministry said Ben Klayman,GM boosts EV spending by     moves to increase battery production Reuters Canada,General Motors Co  GM N  on Thursday stepped up its challenge to electric vehicle leader Tesla Inc  TSLA O  boosting planned spending on future electric models by     to more than    billion and outlining plans to increase battery output to meet ramped up v Ben Klayman,GM boosts EV spending by     moves to increase battery production Reuters,General Motors Co  GM N  on Thursday stepped up its challenge to electric vehicle leader Tesla Inc  TSLA O  boosting planned spending on future electric models by     to more than    billion and outlining plans to increase battery output to meet ramped up v Jasper Jolly,UK electric vehicle maker Arrival to list on Nasdaq amid surging demand,Banbury based firm to start mass production of electric buses and vans Arrival the UK based electric van and bus startup is to list on the Nasdaq stock exchange in New York in a deal that is expected to value the company at more than   bn The manufacturer  Reuters Staff,U S upgrades safety probe into nearly         Tesla vehicles Reuters,The U S National Highway Traffic Safety Administration  NHTSA  said on Monday it was upgrading a probe into nearly         Tesla  TSLA O  Model S and Model X vehicles over touchscreen failures to an engineering analysis Kate Abnett,EU to target    million electric cars by      draft Reuters,The European Union will aim to have at least    million zero emission vehicles on its roads by      as it seeks to steer countries away from fossil fuel based transport according to a draft document seen by Reuters Ben Klayman, David Shepardson,GM recalling nearly        Bolt EVs for fire risks Reuters India,General Motors Co  GM N  said on Friday it is recalling        electric cars worldwide that pose a fire risk after five reported fires and two minor injuries Kate Abnett,EU to target    million electric cars by      draft Reuters UK,The European Union will aim to have at least    million zero emission vehicles on its roads by      as it seeks to steer countries away from fossil fuel based transport according to a draft document seen by Reuters Joseph White,Ford to add jobs to boost output of electric F     add electric van Reuters,Ford Motor Co said on Tuesday it plans to hire     more U S workers to expand production capacity for its electric F     pickup truck in Michigan and add assembly of electric commercial vans at a plant near Kansas City Missouri Joseph White,Ford to add jobs to boost output of electric F     add electric van Reuters,Ford Motor Co said on Tuesday it plans to hire     more U S workers to expand production capacity for its electric F     pickup truck in Michigan and add assembly of electric commercial vans at a plant near Kansas City Missouri Reuters Staff,UK watchdog studies range anxiety in electric vehicle charging Reuters,Britain s competition regulator said on Wednesday it would study whether the fast growing electric vehicle charging sector worked well in helping drivers deal with  range anxiety  or the worry about not being able to find a chargepoint Nick Carey,Chassis provider Motiv wins Bimbo Bakeries electric van order Reuters,Motiv Power Systems which provides chassis and software systems for medium duty trucks and buses said on Tuesday it had received an order for more than     electric delivery trucks from Bimbo Bakeries USA America s largest bakery 
With the      Model   refresh on its way Tesla is reportedly winding sales of the             Model   and will no longer offer its mainstream EV at that price point any longer According to Electrek the company has told its sales staff they can t downgrade ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla released a branded tequila that costs about as much as you d expect Tesla branded tequila to cost   Tesla s tequila which retails for     on the Tesla site is packaged in a lightning bolt shaped bottle mounted on a futuristic stand which is etched w ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teslaquila the Tesla branded liquor that co starred in CEO Elon Musk s controversial April Fool s Day joke about the automaker filing for bankruptcy has arrived The automaker now lists Tesla Tequila  a bit different from the original Teslaquila branding  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla will be added to the S P     a milestone that will expand its investor base and put the electric automaker in the same company as heavyweights like Apple Berkshire Hathaway and Microsoft The announcement made Monday afternoon by the S P Dow Jones In ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surging Tesla shares have pushed the company s market capitalization to more than     billion a fivefold increase since the start of the year The traditionally volatile stock has continued to experience price swings But since reaching a low for the year i ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elon Musk would consider leveraging Tesla s mega     billion market cap to buy a legacy automaker but only if it was on friendly terms the billionaire entrepreneur said Tuesday in a wide ranging interview with Axel Springer CEO Mathias D pfner Musk who re ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That was fast   Hours after Tesla CEO Elon Musk announced a new lifestyle product from the company Tesla Tequila it s already out of stock   This is despite the hefty price tag of     per bottle and the fact that it s only available in select U S states  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elon Musk has passed Microsoft founder Bill Gates to become the world s second richest person The Tesla CEO s net worth now sits at around     billion after increasing by       billion over the course of this year ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucid Motors found a trick for moving electrons around more efficiently but that s no guarantee of market success ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Tesla Model   owner crashed his car so hard the electric vehicle s battery broke apart and sent cells flying all over the area The police department of Corvallis Oregon has posted the details of the crash on Facebook where it revealed that the owner was ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California is once again instituting restrictions to keep COVID    in check but it s not going to risk pushback from Tesla this time around Reuters reports the state s Health Department has determined that workers at Tesla s Fremont factory are considered e ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The company is rolling out a patch today for the vulnerabilities which allowed one researcher to break into one in    seconds and drive away ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The billionaire has had an eventful few days and now Tesla is to be included in a major US index ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After months of speculation car manufacturing startup Tesla will become the newest addition to the S P Dow Jones Indices on December    the index announced on Monday Read more ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the battle of rich white dudes becoming even richer Elon Musk is winning   The CEO of Tesla and SpaceX has overtaken Bill Gates to become the second richest man in the world behind Amazon CEO Jeff Bezos Bloomberg has assessed   This is due to Tesla sto ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL DR  Relive the science fair with the DIY Tesla Music Coil Kit on sale for        as of Nov      Do you see stars lights and more whenever you hear music play Now you can bring what you see in your head to life with the DIY Tesla Music Coil Kit  This  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It s not exactly a secret that Elon Musk billionaire CEO of SpaceX and Tesla self proclaimed Thai pedophilia expert and designer of death race trucks doesn t give a flying fuck what other people think about his actions Read more ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomous drone company Skydio has hired three executives in product and engineering following its recent     million Series C funding round as part of the company s strategy to expand beyond consumer applications and into the enterprise and public sector m ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Station is a weekly newsletter dedicated to all things transportation  Sign up here   just click The Station   to receive it every Saturday in your inbox Welcome back to The Station a newsletter dedicated to all the present and future ways people and pa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaceX founder and CEO Elon Musk was given an award from media giant Axel Springer on Tuesday and he sat down to provide a wide ranging interview that covered topics including space Tesla AI and even underpopulation Musk addressed SpaceX s Mars ambitions  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla has launched a GPS III satellite on behalf of customer the U S Space Force the second GPS III generation satellite it has launched for the U S military this year The first took off in June and was the third overall GPS III put in orbit by SpaceX  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A former controller and CFO of the state of California Steve Westly is passionate about government The onetime eBay exec and early Tesla board member has also been a proponent of clean energy for roughly    years so he s feeling optimistic right now with  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Space Karen  confirmed he had COVID    Tuesday while receiving an award  at a mostly mask less in person event  for a lifetime of accomplishments   Elon Musk CEO of Tesla and SpaceX was in Berlin as the recipient for this year s Axel Springer Award from th ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You might need to take your Chevy Bolt in for major service Detroit News and The Verge report that GM is recalling        Bolt EVs         in the US  to help it identify the causes of five battery fires between      and      The car maker has found some com ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     s jokes are      s reality I m speaking of course about Tesla Tequila Previously featured in an April Fool s tweet from Elon Musk  pre SEC settlement era   Teslaquila  is now an actual drink you can buy While Tesla didn t go with the one word name  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Something extremely bogus is going on   Elon Musk tweeted on Nov    It s been a busy month and you could be forgiven if you forgot about the Tesla founder s confusing tweet in which he said that his rapid antigen test had come back positive and negative  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Inc Chief Executive Officer Elon Musk finally made good on his promise to sell  Tesla Tequila  two years after teasing the effort in a tweet and the     bottle quickly flew off the virtual shelf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Inc Chief Executive Officer Elon Musk made good on his promise to sell  Tesla Tequila  two years after teasing the plan in a tweet and the     bottles quickly flew off the virtual shelf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Inc  TSLA O  Chief Executive Officer Elon Musk finally made good on his promise to sell  Tesla Tequila  two years after teasing the effort in a tweet and the     bottle quickly flew off the virtual shelf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workers that make Teslas during the coronavirus pandemic are now apparently considered  essential  in the state of California which has reported an average of        new covid    infections per day in the last week This means that Tesla s workers will not b ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Environmental Protection Agency has released its certified range numbers for the      Mustang Mach E and they re pretty much what Ford had expected Depending on the configuration the automaker s first major electric vehicle can run for up to     miles  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The EPA just released its findings on the Mustang Mach E and it s a mixture of good news and bad news Depending on the model the EPA says the Mach E is good for just     miles to     miles on a charge On the one hand the Mach E matched Ford s range targe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Inc  TSLA O  Chief Executive Officer Elon Musk finally made good on his promise to sell  Tesla Tequila  two years after teasing the effort in a tweet and the     bottle quickly flew off the virtual shelf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workers that make Teslas during the coronavirus pandemic are now apparently considered  essential  in the state of California which has reported an average of        new covid    infections per day in the last week This means that Tesla s workers will not b ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Environmental Protection Agency has released its certified range numbers for the      Mustang Mach E and they re pretty much what Ford had expected Depending on the configuration the automaker s first major electric vehicle can run for up to     miles  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The EPA just released its findings on the Mustang Mach E and it s a mixture of good news and bad news Depending on the model the EPA says the Mach E is good for just     miles to     miles on a charge On the one hand the Mach E matched Ford s range targe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Inc  TSLA O  Chief Executive Officer Elon Musk said on Saturday he  most likely  has a moderate case of COVID    as he continued to question the accuracy of the tests Reuters Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Inc Chief Executive Officer Elon Musk made good on his promise to sell  Tesla Tequila  two years after teasing the plan in a tweet and the     bottles quickly flew off the virtual shelf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workers that make Teslas during the coronavirus pandemic are now apparently considered  essential  in the state of California which has reported an average of        new covid    infections per day in the last week This means that Tesla s workers will not b ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Environmental Protection Agency has released its certified range numbers for the      Mustang Mach E and they re pretty much what Ford had expected Depending on the configuration the automaker s first major electric vehicle can run for up to     miles  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The EPA just released its findings on the Mustang Mach E and it s a mixture of good news and bad news Depending on the model the EPA says the Mach E is good for just     miles to     miles on a charge On the one hand the Mach E matched Ford s range targe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Inc  TSLA O  Chief Executive Officer Elon Musk finally made good on his promise to sell  Tesla Tequila  two years after teasing the effort in a tweet and the     bottle quickly flew off the virtual shelf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workers that make Teslas during the coronavirus pandemic are now apparently considered  essential  in the state of California which has reported an average of        new covid    infections per day in the last week This means that Tesla s workers will not b ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Environmental Protection Agency has released its certified range numbers for the      Mustang Mach E and they re pretty much what Ford had expected Depending on the configuration the automaker s first major electric vehicle can run for up to     miles  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The EPA just released its findings on the Mustang Mach E and it s a mixture of good news and bad news Depending on the model the EPA says the Mach E is good for just     miles to     miles on a charge On the one hand the Mach E matched Ford s range targe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Inc  TSLA O  Chief Executive Officer Elon Musk said on Saturday he  most likely  has a moderate case of COVID    as he continued to question the accuracy of the tests ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
